url,description
https://dlsu.edu.ph/wp-content/uploads/pdf/policy/urco-code-of-research-ethics.pdf,Ethical Conduct of Research
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/internally-funded-research-projects.pdf,Policies and Guidelines for Internally-Funded Research Projects
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/funds.pdf,"Policies and Implementing Guidelines and Procedures for Computer/Computer Peripherals, Laboratory Equipment and Audio-Visual Materials Purchased/Acquired through University Funds"
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/policies-and-guidelines-external-projects.pdf,Policies and Guidelines for External Projects
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Procurement%20Manual.pdf,Procurement Manual
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/dlsu-knowlegde-and-technology-transfer-policy.pdf,Knowledge and Technology Transfer Policy
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/gift-acceptance-policy.pdf,Accepting Tokens and Gifts Policy
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Memo%20on%20Cost-Cutting%20Measures.pdf,Memo on Cost-Cutting Measures
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Petty%20Cash%20Fund%20Policies%20and%20Guidelines.pdf,Petty Cash Fund Policies and Guidelines
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Commitment%20to%20Ethical%20Purchasing%20Practices.pdf,Commitment to Ethical Purchasing Practices
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/trademark-policy.pdf,Trademark Policy
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/dlsu-ip-policies.pdf,Policies on Intellectual Property
https://www.dlsu.edu.ph/wp-content/uploads/pdf/policy/university-code-of-ethical-conduct.pdf,HERE
https://www.dlsu.edu.ph/administration/_pdf/admin-orgchart.pdf,Organizational Chart
https://www.dlsu.edu.ph/brothers/foundation-principles-lasallian-formation,Foundation Principles of Lasallian Formation
https://www.dlsu.edu.ph/brothers/lasallian-volunteer-program,Lasallian Volunteer Program
https://www.dlsu.edu.ph/brothers/vocation-animation-resources,Vocation Animation Resources
https://www.dlsu.edu.ph/brothers/streaming-videos-brothers,Streaming Videos (Brothers)
https://www.dlsu.edu.ph/about-dlsu/www.dlsu.edu.ph,De La Salle University
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/jubilee-strategy-23-27.pdf,DLSU Jubilee Strategy
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/elga-2.pdf,ELGA
http://www.dlsu.edu.ph/offices/qao/_pdf/guide-aun-actual-quality-assessment-v4.pdf,Guide to AUN-QA Assessment at Programme Level Version 4.0
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/guide-aun-institutional-quality-assessment.pdf,Guide to AUN-QA Assessment at Institutional Level Version 3.0
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/autonomous-status.pdf,Autonomous Status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/institutional-accreditation-valid-until-february-2025.pdf,Institutional Accreditation
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/institutional-level.pdf,AUN Quality Assessment at Institutional Level
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/accountancy-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/biology-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/business-administration-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/chemical-engineering-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/chemistry-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/civil-engineering-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/electronics-and-communications-engineering-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/entrepreneurship-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/industrial-engineering-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/information-technology-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/mathematics-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/mechanical-engineering-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/physics-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/teacher-education-ched.pdf,Center of Excellence
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/computer-engineering-ched.pdf,Center of Development
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/history-ched.pdf,Center of Development
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/literature-ched.pdf,Center of Development
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/political-science-ched.pdf,Center of Development
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/statistics-ched.pdf,Center of Development
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/accountancy-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/business-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/economics-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/entrepreneurship-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/liberal-arts-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/science-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/elementary-education-programs-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/secondary-education-programs-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/computer-science-faappascu.pdf,Level IV Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/chemical-engineering-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/civil-engineering-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/electronics-engineering-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/industrial-engineering-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/manufacturing-engineeringand-management-faappascu.pdf,Level II
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/letter-from-paascu-ce-bsit-bsis-2024.pdf,Level I
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/gs-education-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/gs-liberal-arts-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/gs-sciences-faappascu.pdf,Level III
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/master-in-business-administration-program-faappascu.pdf,Level II Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/doctor-of-business-administration-program-faappascu.pdf,Level II Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/ms-in-accountancy-faappascu.pdf,Level I Accreditation status
https://www.dlsu.edu.ph/wp-content/uploads/pdf/qao/ms-in-entrepreneurship-faappascu.pdf,Level I Accreditation status
